latitude,longitude,incident_cause,injury_type,value,datetime,description
-12.056207110681235,32.45931729754862,Heavy equipment accident,Fatalities,255,2019-06-16 19:20:43,Hit and run
-16.135598989128262,35.20128304577059,Snake bite,Serious Injury,238,2019-06-01 11:46:07,Vehicle collision
-13.833853985190608,35.516808541212235,Pesticide poisoning,Serious Injury,351,2019-06-13 22:48:29,Roadside emergency
-14.849985291928917,33.553261234729135,Falling from tractor,Minor Injury,491,2019-06-23 22:02:07,Vehicle collision
-10.378976141652231,35.1911230617034,Machinery malfunction,Minor Injury,696,2019-06-07 19:36:41,Vehicle collision
-13.031703943465075,31.730374876188673,Machinery malfunction,Serious Injury,226,2019-06-22 19:40:45,Hit and run
-8.942117567068102,34.95698979293608,Flood damage,Serious Injury,391,2019-06-25 23:22:04,Roadside emergency
-13.601369193716913,32.6153556396387,Heavy equipment accident,Minor Injury,223,2019-06-04 14:54:07,Multiple vehicle accident
-10.27303797044151,35.3084571847067,Flood damage,Fatalities,155,2019-06-18 11:32:50,Hit and run
-10.417189353873127,31.714435641461236,Flood damage,Minor Injury,986,2019-06-02 09:02:43,Roadside emergency
-15.578781174595528,33.91247967075744,Crop fire,Minor Injury,702,2019-06-01 23:36:30,Vehicle collision
-12.729655749376473,34.706277782988344,Snake bite,Serious Injury,47,2019-06-18 07:32:38,Single vehicle crash
-11.234371929876673,32.734405789563716,Machinery malfunction,Serious Injury,172,2019-06-18 07:04:44,Road accident
-9.938880325634653,32.47480614376568,Flood damage,Moderate Injury,767,2019-06-07 10:02:38,Pedestrian hit
-14.18210752554098,32.04302896889322,Animal attack,Fatalities,229,2019-06-05 23:38:34,Pedestrian hit
-15.024678850902582,33.00267696295304,Crop fire,Minor Injury,453,2019-06-19 09:23:37,Traffic jam due to accident
-11.112138226469,33.92698347674297,Falling from tractor,Fatalities,144,2019-06-21 16:11:50,Road accident
-10.328276662266468,32.16874167284982,Snake bite,Fatalities,129,2019-06-13 03:09:35,Vehicle collision
-14.001132081284918,33.201713633467726,Chemical burn,Serious Injury,361,2019-06-08 18:36:02,Single vehicle crash
-16.013472887801377,31.74592672242479,Snake bite,Fatalities,117,2019-06-14 06:00:33,Hit and run
-9.284029582017856,34.951970505179375,Falling from tractor,Minor Injury,120,2019-06-24 05:02:26,Road accident
-13.611350991932447,32.218656923649036,Machinery malfunction,Minor Injury,88,2019-06-02 00:42:31,Multiple vehicle accident
-12.653521736295986,32.832038075131706,Drought impact,Moderate Injury,937,2019-06-26 11:06:51,Traffic jam due to accident
-10.103450455918598,31.78297376620334,Crop fire,Fatalities,262,2019-06-18 09:27:40,Pedestrian hit
-11.394749767196934,33.42167350421435,Heavy equipment accident,Serious Injury,84,2019-06-26 12:02:45,Roadside emergency
-10.920327529651047,35.03688115085523,Pesticide poisoning,Fatalities,158,2019-06-18 08:47:03,Road accident
-15.113699182720422,33.26291879732298,Animal attack,Moderate Injury,51,2019-06-17 07:35:38,Road accident
-12.464659648594301,32.42080940075838,Crop fire,Serious Injury,84,2019-06-08 20:26:42,Vehicle collision
-11.234598337219696,34.69464738284006,Machinery malfunction,Fatalities,71,2019-06-11 09:05:34,Hit and run
-14.958456326275522,34.83367564820815,Pesticide poisoning,Moderate Injury,1276,2019-06-22 05:41:42,Multiple vehicle accident
-15.38560923104539,32.398063762217966,Chemical burn,Serious Injury,157,2019-06-29 21:16:18,Road accident
-8.952118303664399,34.76258226982232,Flood damage,Moderate Injury,952,2019-06-05 19:26:07,Vehicle collision
-12.662411946570018,35.4612996374951,Animal attack,Minor Injury,1374,2019-06-04 20:14:52,Single vehicle crash
-14.701191476601641,32.3688552442518,Animal attack,Moderate Injury,383,2019-06-14 11:20:31,Traffic jam due to accident
-8.839858012929344,34.76309779842726,Animal attack,Fatalities,26,2019-06-29 20:18:50,Multiple vehicle accident
-9.085607770228314,34.515945138226414,Machinery malfunction,Minor Injury,195,2019-06-15 06:56:50,Single vehicle crash
-12.330401174751433,33.58535259820295,Snake bite,Minor Injury,186,2019-06-05 10:18:12,Hit and run
-9.745388344780963,31.939365023812844,Heavy equipment accident,Serious Injury,148,2019-06-15 16:31:38,Traffic jam due to accident
-15.276004346519207,32.005789894321104,Flood damage,Minor Injury,1354,2019-06-16 03:12:37,Traffic jam due to accident
-14.55739531984031,35.085562050426645,Pesticide poisoning,Fatalities,230,2019-06-29 04:34:37,Vehicle collision
-11.198148095117013,35.63098755609256,Flood damage,Minor Injury,1116,2019-06-03 16:23:44,Vehicle collision
-10.032110696360704,34.38716693845955,Heavy equipment accident,Minor Injury,830,2019-06-24 14:05:48,Pedestrian hit
-9.955095393731604,33.47599489576088,Crop fire,Serious Injury,309,2019-06-05 04:06:48,Multiple vehicle accident
-13.556070226836146,34.27439162787156,Heavy equipment accident,Serious Injury,65,2019-06-22 21:33:30,Roadside emergency
-9.70447231287515,34.06380760254504,Crop fire,Serious Injury,57,2019-06-03 08:23:54,Roadside emergency
-9.998100263322925,33.22910455120626,Chemical burn,Serious Injury,209,2019-06-16 15:34:08,Traffic jam due to accident
-9.322989096059048,31.969879532513094,Chemical burn,Moderate Injury,581,2019-06-15 21:58:01,Vehicle collision
-10.52083501062187,34.963191271733464,Animal attack,Moderate Injury,268,2019-06-29 03:51:49,Road accident
-11.448163609927597,33.18246077578535,Flood damage,Serious Injury,121,2019-06-21 17:09:23,Road accident
-12.151927627151457,34.952391147694094,Crop fire,Minor Injury,190,2019-06-01 02:34:07,Hit and run
-13.812906350502908,32.709934648765994,Heavy equipment accident,Serious Injury,58,2019-06-12 14:50:52,Vehicle collision
-9.287136463611507,31.71407674018871,Crop fire,Fatalities,278,2019-06-10 10:22:12,Pedestrian hit
-9.019899221060122,32.339395601775955,Drought impact,Serious Injury,35,2019-06-24 02:59:16,Pedestrian hit
-14.5171498313424,33.565416090403595,Machinery malfunction,Moderate Injury,1285,2019-06-06 06:13:16,Road accident
-14.346250033055185,35.44944239443301,Flood damage,Moderate Injury,768,2019-06-01 02:24:54,Pedestrian hit
-12.909658383917774,32.11468673398713,Machinery malfunction,Fatalities,40,2019-06-21 15:31:24,Traffic jam due to accident
-13.206059580399609,35.0926707068678,Pesticide poisoning,Fatalities,115,2019-06-11 22:28:03,Traffic jam due to accident
-8.85417402299176,33.797015420998974,Animal attack,Moderate Injury,330,2019-06-05 09:50:39,Road accident
-15.377875736161558,34.980646232567594,Animal attack,Fatalities,267,2019-06-20 19:17:59,Single vehicle crash
-16.635939351984298,32.891562746720375,Drought impact,Minor Injury,799,2019-06-06 15:47:53,Road accident
-12.843667089988028,35.03619077210299,Snake bite,Minor Injury,528,2019-06-18 04:13:20,Roadside emergency
-15.354783007506011,34.770378208866546,Flood damage,Moderate Injury,972,2019-06-07 02:27:56,Hit and run
-13.859243786874607,32.62101258480448,Crop fire,Minor Injury,366,2019-06-21 10:25:18,Single vehicle crash
-10.8489609312392,32.23008710058114,Flood damage,Fatalities,89,2019-06-07 16:04:58,Hit and run
-11.03410880371053,35.147495117227884,Chemical burn,Serious Injury,256,2019-06-01 17:31:12,Roadside emergency
-14.324755488936459,35.52441714762293,Drought impact,Minor Injury,169,2019-06-25 22:10:00,Single vehicle crash
-12.455954362477453,31.833957162440164,Heavy equipment accident,Minor Injury,798,2019-06-06 17:46:09,Pedestrian hit
-12.724751807595084,34.6058294652158,Animal attack,Minor Injury,696,2019-06-20 20:22:07,Roadside emergency
-11.708429033058415,35.31171706335336,Crop fire,Minor Injury,397,2019-06-09 08:59:25,Pedestrian hit
-14.783819305713495,35.105145964686294,Pesticide poisoning,Serious Injury,236,2019-06-20 14:21:18,Hit and run
-12.078729344942467,35.52950107019003,Drought impact,Moderate Injury,497,2019-06-01 21:26:11,Vehicle collision
-8.978223919548178,34.71997255061487,Animal attack,Serious Injury,274,2019-06-04 15:16:33,Multiple vehicle accident
-12.900665040913143,33.461503099028405,Snake bite,Minor Injury,392,2019-06-24 05:45:50,Multiple vehicle accident
-9.558392661883126,32.94532988236072,Falling from tractor,Minor Injury,1145,2019-06-12 17:40:38,Hit and run
-13.317876906881885,32.980141252134985,Pesticide poisoning,Fatalities,35,2019-06-17 11:20:07,Traffic jam due to accident
-13.989875090673436,34.578713783551905,Flood damage,Moderate Injury,1107,2019-06-23 21:20:13,Traffic jam due to accident
-11.638526204616399,34.66351456764262,Pesticide poisoning,Fatalities,188,2019-06-15 09:24:05,Traffic jam due to accident
-11.448675244485097,32.5034222084529,Falling from tractor,Moderate Injury,510,2019-06-07 06:43:47,Hit and run
-9.892584506376934,35.1477663414225,Machinery malfunction,Minor Injury,872,2019-06-15 05:35:26,Hit and run
-14.945423412114806,34.5410991992009,Heavy equipment accident,Minor Injury,294,2019-06-26 19:09:49,Single vehicle crash
-12.801428762318524,33.9384911339198,Animal attack,Moderate Injury,675,2019-06-02 15:50:36,Road accident
-12.221126532302812,33.57726854200595,Flood damage,Moderate Injury,485,2019-06-27 13:13:07,Road accident
-10.654624505978717,33.86120191092824,Machinery malfunction,Serious Injury,228,2019-06-06 02:35:35,Single vehicle crash
-16.432477939117163,32.34061312358589,Machinery malfunction,Fatalities,124,2019-06-17 08:26:30,Pedestrian hit
-8.853432428945194,32.516656947134045,Animal attack,Serious Injury,365,2019-06-09 20:38:44,Single vehicle crash
-13.034542223492185,32.07101138200852,Falling from tractor,Fatalities,155,2019-06-05 07:48:47,Single vehicle crash
-14.551904075879834,32.31848583111801,Animal attack,Moderate Injury,502,2019-06-11 02:16:33,Single vehicle crash
-9.738552642537917,33.50662679303692,Chemical burn,Serious Injury,171,2019-06-21 04:10:45,Road accident
-10.820681372037612,33.810203399163896,Drought impact,Minor Injury,288,2019-06-06 03:00:44,Single vehicle crash
-9.184017379219092,31.780733094214145,Animal attack,Moderate Injury,1003,2019-06-22 21:40:24,Multiple vehicle accident
-14.143920071776007,34.86531939834155,Machinery malfunction,Moderate Injury,1476,2019-06-05 04:03:17,Roadside emergency
-12.374463214321146,32.87490517444017,Chemical burn,Fatalities,212,2019-06-07 12:23:01,Pedestrian hit
-12.21882902070842,35.32087069844125,Falling from tractor,Serious Injury,185,2019-06-10 21:39:22,Single vehicle crash
-8.966757277783117,35.54134460391056,Chemical burn,Moderate Injury,162,2019-06-11 14:35:04,Roadside emergency
-16.17949033963116,32.444417143719555,Heavy equipment accident,Fatalities,274,2019-06-01 12:21:11,Traffic jam due to accident
-14.343594756281162,33.53990527143202,Pesticide poisoning,Serious Injury,232,2019-06-25 10:46:47,Hit and run
-15.258439081731744,31.714878067259047,Pesticide poisoning,Minor Injury,687,2019-06-09 12:55:02,Roadside emergency
-14.640255390585452,34.079375969884815,Snake bite,Minor Injury,678,2019-06-14 18:15:51,Vehicle collision
-12.912319402017765,34.11493353512018,Machinery malfunction,Moderate Injury,1000,2019-06-21 03:37:38,Vehicle collision
-13.809685669260428,32.690258224189364,Flood damage,Fatalities,100,2019-06-29 07:03:34,Roadside emergency
-13.634309009528508,33.921314183429466,Chemical burn,Serious Injury,375,2019-06-17 20:46:41,Road accident
-10.0516212684113,32.603138964077196,Drought impact,Moderate Injury,1181,2019-06-06 00:35:19,Hit and run
-9.36776582655767,32.34686885754963,Falling from tractor,Fatalities,167,2019-06-02 21:02:19,Hit and run
-16.218783437129137,34.29001708853697,Falling from tractor,Fatalities,69,2019-06-07 06:15:11,Road accident
-15.11491782060558,33.00066483725022,Snake bite,Minor Injury,1297,2019-06-21 02:33:53,Traffic jam due to accident
-11.430986170912316,34.04744519798707,Crop fire,Minor Injury,349,2019-06-14 21:21:23,Multiple vehicle accident
-13.921585153069575,33.425657125927756,Machinery malfunction,Serious Injury,352,2019-06-16 13:33:29,Vehicle collision
-14.754315716914183,35.6080315733155,Crop fire,Moderate Injury,1257,2019-06-10 09:51:32,Single vehicle crash
-14.42653401030106,32.30233934496356,Chemical burn,Minor Injury,192,2019-06-26 22:27:38,Single vehicle crash
-14.209270409018355,33.54981044267781,Snake bite,Fatalities,24,2019-06-14 21:10:57,Multiple vehicle accident
-10.016101734450345,34.40460824038293,Machinery malfunction,Minor Injury,121,2019-06-23 20:53:45,Hit and run
-15.69112798840703,33.27635853216468,Machinery malfunction,Moderate Injury,74,2019-06-23 05:43:52,Single vehicle crash
-11.129979354626355,35.56981141340793,Pesticide poisoning,Moderate Injury,673,2019-06-20 21:16:56,Multiple vehicle accident
-12.374024784043975,34.56867500659067,Pesticide poisoning,Fatalities,146,2019-06-08 13:28:22,Hit and run
-14.416814155127048,34.3116560759554,Crop fire,Fatalities,97,2019-06-06 11:37:15,Road accident
-13.434346574123177,34.70795469974045,Pesticide poisoning,Minor Injury,1274,2019-06-22 22:23:40,Traffic jam due to accident
-14.73803065955217,35.48248860663332,Machinery malfunction,Minor Injury,1402,2019-06-14 20:56:04,Vehicle collision
-11.906235724400528,35.30496186581918,Falling from tractor,Minor Injury,302,2019-06-14 11:36:32,Roadside emergency
-16.129694382210086,34.57816982018059,Heavy equipment accident,Minor Injury,1139,2019-06-10 01:17:26,Traffic jam due to accident
-16.738676643691328,34.67668009084108,Falling from tractor,Serious Injury,391,2019-06-26 10:26:53,Roadside emergency
-11.775681512859371,32.287851413179176,Animal attack,Fatalities,76,2019-06-11 17:15:47,Multiple vehicle accident
-15.231636590509025,32.11705792179096,Drought impact,Serious Injury,310,2019-06-08 14:30:46,Traffic jam due to accident
-16.214600891510578,33.97078182730289,Machinery malfunction,Moderate Injury,823,2019-06-25 07:56:43,Traffic jam due to accident
-13.61763289710531,31.782735842284538,Drought impact,Moderate Injury,720,2019-06-03 16:20:22,Hit and run
-16.37537480761601,33.620131270944306,Pesticide poisoning,Fatalities,214,2019-06-29 19:50:58,Multiple vehicle accident
-9.713661322863242,32.54298433647872,Pesticide poisoning,Minor Injury,1112,2019-06-20 08:03:03,Roadside emergency
-16.559894328166575,33.080225607873565,Snake bite,Serious Injury,80,2019-06-03 03:07:41,Vehicle collision
-12.166446782804758,34.782186753740106,Flood damage,Minor Injury,669,2019-06-05 19:34:48,Multiple vehicle accident
-13.285361239545848,35.43730051676025,Animal attack,Fatalities,249,2019-06-23 12:44:54,Pedestrian hit
-11.423951701697263,31.99676843769951,Pesticide poisoning,Fatalities,243,2019-06-26 20:37:25,Vehicle collision
-14.164623240226387,33.82559913566672,Snake bite,Minor Injury,866,2019-06-17 00:24:34,Vehicle collision
-15.54431831467988,35.20483260384562,Snake bite,Fatalities,27,2019-06-11 16:17:21,Hit and run
-8.954728120165068,32.03673379638407,Animal attack,Serious Injury,293,2019-06-04 15:33:33,Road accident
-10.093699988507176,34.97507562571146,Chemical burn,Minor Injury,981,2019-06-13 14:48:45,Pedestrian hit
-9.922575192055948,33.12689334967595,Drought impact,Fatalities,62,2019-06-21 23:14:23,Traffic jam due to accident
-14.785496656688565,32.98549502078857,Machinery malfunction,Serious Injury,220,2019-06-10 03:55:29,Hit and run
-16.470487166597497,35.580766889806554,Falling from tractor,Fatalities,291,2019-06-12 09:24:29,Single vehicle crash
-14.362973848054414,32.50540199585468,Pesticide poisoning,Moderate Injury,1233,2019-06-03 06:53:23,Vehicle collision
-12.499453055242657,34.455048005657815,Snake bite,Fatalities,107,2019-06-13 15:19:17,Road accident
-14.176589602885555,34.962905282919074,Flood damage,Minor Injury,771,2019-06-25 20:07:29,Road accident
-10.18188403981292,31.873086641305918,Crop fire,Moderate Injury,1335,2019-06-06 07:12:43,Roadside emergency
-14.615802960916659,34.364726415083474,Crop fire,Fatalities,191,2019-06-07 17:49:20,Multiple vehicle accident
-9.086942911785567,35.478137898447095,Animal attack,Fatalities,281,2019-06-27 10:07:19,Traffic jam due to accident
-13.135596661938585,32.20191106824311,Crop fire,Fatalities,151,2019-06-18 04:36:34,Pedestrian hit
-10.069076092154509,35.259036358632756,Chemical burn,Serious Injury,41,2019-06-10 12:48:39,Vehicle collision
-15.230791129060863,34.06531548401267,Falling from tractor,Fatalities,151,2019-06-24 12:10:33,Hit and run
-13.501509376698273,34.1517541441754,Machinery malfunction,Moderate Injury,485,2019-06-02 22:15:24,Roadside emergency
-11.204887680185465,34.1372589324678,Heavy equipment accident,Minor Injury,669,2019-06-19 14:56:48,Road accident
-15.677325853430125,32.89339010989576,Flood damage,Fatalities,266,2019-06-01 02:32:17,Single vehicle crash
-15.722018984723531,35.41339918858586,Animal attack,Moderate Injury,95,2019-06-02 12:13:30,Hit and run
-9.052791169100153,35.46150783201892,Flood damage,Moderate Injury,317,2019-06-28 15:30:44,Hit and run
-11.084677019685783,34.18620645444724,Crop fire,Fatalities,249,2019-06-05 07:13:02,Vehicle collision
-16.452691891360033,34.812353994728795,Heavy equipment accident,Serious Injury,44,2019-06-26 03:22:52,Roadside emergency
-13.601397415484989,34.13454162408939,Animal attack,Serious Injury,32,2019-06-05 15:12:42,Road accident
-13.324839721481487,33.6282178523932,Pesticide poisoning,Minor Injury,206,2019-06-07 23:02:01,Roadside emergency
-10.849980135297052,34.326847668465035,Flood damage,Fatalities,193,2019-06-03 04:33:46,Road accident
-14.780641597047111,33.899885752264154,Heavy equipment accident,Fatalities,244,2019-06-03 12:53:05,Single vehicle crash
-15.310860615578981,34.07600441602244,Pesticide poisoning,Serious Injury,17,2019-06-14 13:42:25,Roadside emergency
-16.135442456060936,34.813976911538695,Drought impact,Serious Injury,392,2019-06-16 17:34:48,Vehicle collision
-13.366333634727342,33.61437917253798,Crop fire,Moderate Injury,1015,2019-06-19 19:42:17,Road accident
-11.292655790900032,31.871386260126194,Animal attack,Minor Injury,165,2019-06-05 05:13:31,Traffic jam due to accident
-16.316197043797704,32.35943794471841,Machinery malfunction,Minor Injury,87,2019-06-14 00:33:27,Roadside emergency
-9.485746590816952,33.446884577298576,Flood damage,Moderate Injury,1256,2019-06-09 09:05:17,Vehicle collision
-13.254452729043098,34.580313177101274,Crop fire,Moderate Injury,254,2019-06-16 09:25:42,Roadside emergency
-14.868894747515498,34.059383447308306,Pesticide poisoning,Fatalities,60,2019-06-06 21:26:44,Hit and run
-16.031829878052108,34.28516497605888,Falling from tractor,Fatalities,147,2019-06-15 21:27:43,Pedestrian hit
-15.322558003054763,33.6079445571621,Snake bite,Moderate Injury,886,2019-06-10 02:05:52,Pedestrian hit
-9.331126441202514,34.148338406891284,Drought impact,Minor Injury,137,2019-06-09 19:52:11,Multiple vehicle accident
-11.692983367068498,33.012909053746064,Machinery malfunction,Fatalities,198,2019-06-06 01:30:19,Road accident
